index,sp600,sp100,r^2,beta
145,JOE,CMCSA,0.649093641,1.34895562
358,APOG,GD,0.6487698923,0.1922217249
368,WNC,TMO,0.6466391439,0.02630800124
230,CARG,NFLX,0.646026917,0.01323406633
372,LMAT,PM,0.6430256934,0.8871869633
287,LTC,PG,0.6408965093,0.3400010583
99,UNF,VZ,0.6399458546,3.017678849
7,ATI,CSCO,0.6397432099,0.472609518
116,PRVA,AMT,0.6397151082,0.2163523677
93,MDC,FDX,0.6361921495,0.2852979814
175,SHO,GS,0.6343667745,0.02819772783
106,ROG,TMO,0.6343350849,0.2398021835
375,LGND,WBA,0.6335968991,0.5340906911
564,CPF,LMT,0.6299984363,0.02214921706
242,GPRE,RTX,0.6297782323,-0.2340077229
81,DY,NVDA,0.6282312284,0.1001215145
255,HNI,HD,0.627824154,0.1789107499
502,EGBN,COF,0.6277575281,0.2015376619
406,ATEN,SBUX,0.6261636229,0.1321682945
389,STC,BK,0.6221571705,0.9874900618
426,CCRN,TMO,0.6210369357,0.03717145522
270,VRE,TMO,0.6208924743,0.0165003548
464,WT,CSCO,0.6206427294,0.09003453417
367,CASH,ACN,0.6197309642,0.07433883304
472,POWL,LIN,0.6165790774,0.4622252388
207,PRG,GILD,0.6156546623,0.5720075937
177,NTCT,PM,0.6149756458,0.2316265911
568,CENX,DIS,0.6144356292,0.1059983986
489,RES,XOM,0.6140496492,0.03342256044
200,GVA,FDX,0.6138409791,0.1711479561
469,WWW,KHC,0.6133891303,-0.4855819619
115,ARCB,TXN,0.6109818566,1.195289649
492,EHAB,NVDA,0.6101880882,0.01959246508
144,MRCY,COST,0.6099590671,-0.1518556711
522,SNCY,COST,0.6097234564,0.03298770008
12,BMI,PG,0.6097121402,2.326587935
436,RDN,PG,0.6090077485,0.2627851093
203,DRH,F,0.6072606099,0.7650965865
485,HTLD,AMGN,0.606422021,0.03759756509
551,CYH,FDX,0.6062771635,0.02709672569
245,BKU,COF,0.6057449911,0.2826574614
208,SBCF,DOW,0.6056651306,0.6363678531
340,AAT,GD,0.6030345367,0.09014472856
499,AORT,GD,0.60299336,0.1791883964
521,REX,EMR,0.6021670311,0.9719670944
155,PARR,FDX,0.6019394427,-0.1437867651
216,ENVA,UNP,0.6017859947,0.1320253573
543,ZEUS,DHR,0.6012050847,0.2479950178
51,CNMD,SBUX,0.5995220641,1.011856995
347,UVV,CVX,0.5980471573,-0.1475653642
38,FELE,TMO,0.596543872,0.1127287731
275,AGYS,AMD,0.5950484991,0.3575320659
131,AVA,GS,0.5936518175,0.0956562013
559,UFCS,LMT,0.5936385711,0.0344811058
390,BSIG,COST,0.5931001918,-0.04578587803
443,AHH,PEP,0.5928190837,0.04619272917
252,PGTI,CMCSA,0.590679751,0.7221232194
371,CWK,FDX,0.5903670282,0.03628116803
35,GKOS,TSLA,0.5900623611,0.07903238539
11,MTH,HD,0.5898907722,0.931427159
149,INDB,NKE,0.5896690826,0.2540155216
157,NAVI,QCOM,0.5860169006,0.07441794368
540,BFS,GS,0.5857993688,0.09483629272
477,RGNX,BA,0.5857442112,0.04028389878
235,OUT,GD,0.5856827208,0.09120852151
290,AMSF,NKE,0.5848201437,0.1666834965
34,DIOD,LMT,0.583165015,0.10442672
223,SUPN,TXN,0.5821369821,0.2546026441
319,NVEE,TXN,0.5814729333,0.7400728022
294,OMI,HD,0.5809275724,0.241387584
128,THS,BAC,0.5807192736,1.942880855
40,EPRT,T,0.5800497312,0.5860418699
505,TGI,CVS,0.5764728162,-0.1187212993
